item_id,statement,supporting_passage,source_paper,verdict_YPN,comment
S001,rugged upper surface overlies stable paleo-lakebed.,The compressive domain is comparatively thick; the mass transport deposit upper surface is rugose and elevated with respect to the stable palaeo-lakebed.,RichardsonetalBasinResearch2011-online (1),,
S002,excess pore pressure causes slope failure.,"On glaciated margins, a combination of preconditions to failure exists during the Holocene such as excess pore pressure generation (from rapid deposition) with slow dissipation or gas hydrate dissociation. The final triggering mechanisms are possibly high-magnitude earthquakes between 10 ka and 8 ka due to isostatic rebound during major ice sheet decay.",D. Leynaud,,
S003,amapá megaslide complex is described in seismic data as stratified.,"AM2 to AM6 headscarps cut into well stratiﬁed lower slope siliciclastic layers related to the lateral depositional ﬂank of the Amazon fan, whose gravitational failure constitutes the source area for the related submarine landslides (Figs. 8 and 9B).",Dos-Reis-et-al-2016-MPG,,
S004,debris flow is described in seismic data as hummocky.,Irregular hummocks to featureless at upper boundary (see Figs. 22 and 26),9781565762879_ch02,,
S005,compressive domain causes up to 500m in thickness.,structures In the compressive domain mass transport deposits reach up to 500m in thickness...,RichardsonetalBasinResearch2011-online (1),,
S006,fluid overpressure triggers slope instability.,"The fluid pressure required to trigger a slope instability depends on (1) the length of the sliding sheet, (2) the dip of the detachment, (3) the slope of the wedge, and (4) the cohesion of the material used as a décollement layer.",1-s2.0-S0040195109002819-main,,
S007,slide is described in seismic data as low-amplitude.,Low- and high-amplitude reflections geometrically arranged as though deformed through compressive stresses.,Moscardelli_and_Wood_2008,,
S008,submarine landslide occurs in tectonically active margin.,tectonically active margins are characterized by relatively small failures.,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,,
S009,rapid rate of sedimentation causes fluid overpressure.,"If the load increases quickly (due, for example, to a rapid rate of sedimentation or to tectonic thickening) and the permeability is small enough, then Tc/Td and diffusion can be neglected, so that Eq. (6) becomes: dP dt Z ab fb Ca � � dst dt (7)",1-s2.0-S0191814106000101-main,,
S010,free gas affects slope stability.,"Considering that the two MTDs are more consolidated than undeformed slope strata, overpressure will build underneath them. The free gas and consequent overpressure will greatly affect bore-hole stability during drilling in such an hydrocarbon-rich basin as the Pearl River Mouth Basin.",1-s2.0-S0264817216304585-main,,
S011,volume and pressure buildup causes pore-fluid overpressure.,"In theory, when methane hydrate dissociates this results in an increase of volume and pressure buildup, because 1 m3 of methane hydrate dissociation develops into 164 m3 of methane gas at standard temperature and pressure conditions.",3-s2.0-B9780128130810007047-main,,
