entity,entity_type
"basal shear surface","StructuralSurface"
"basin floor","GeologicalSetting"
"blocky","Descriptor"
"blocky material","GeologicalObject"
"bore-hole stability during drilling","Condition"
"build-up of overpressure","Process"
"canyon erosion","Process"
"canyon mouth","GeologicalSetting"
"channel","SeismicObject"
"channel levee","SeismicObject"
"channel levee complex","SeismicObject"
"chaotic","Descriptor"
"chaotic-to-transparent facies","Facies"
"combination of load increase and strength decrease","Process"
"compressive domain","Domain"
"continental margin","GeologicalSetting"
"continental slope","GeologicalSetting"
"continuous","Descriptor"
"critical length","Attribute"
"current velocity necessary to initiate sediment transport decreases","Condition"
"curved ramp","GeologicalFeature"
"debris avalanche","GeologicalObject"
"debris flow deposit","SeismicObject"
"debris-flow deposit","SeismicObject"
"decrease in current velocity necessary to initiate sediment transport","Condition"
"decrease in the strength of the sediment/rock","Process"
"decreased strength","Factor"
"deep basin","GeologicalSetting"
"deepwater basinal setting","GeologicalSetting"
"deltaic wedge","GeologicalSetting"
"depo-centers shifting towards the outer shelf","Condition"
"developing mtds","GeologicalObject"
"development of mtds in the stress concentrating area","Process"
"discontinuous","Descriptor"
"disequilibrium conditions","Condition"
"disintegration and transformation of the debris flows into a turbidity current","Process"
"displaced block","SeismicObject"
"dissociation of gas hydrates","Process"
"earthquake","Process"
"earthquake loading","Process"
"effect of the surface slope","Effect"
"effective stress decreases","Condition"
"elevation of upper surfaces","Property"
"environmental loads","Process"
"equilibrium conditions","Condition"
"erosion of canyon heads","Process"
"erosive power","Attribute"
"excess pore pressure","Condition"
"excess pressure and formation stress concentration","Process"
"facies 4a","SeismicObject"
"failure","Process"
"failure of sediment or rock","Process"
"fluid overpressure","Process"
"fluid_overpressure","Overpressure"
"fold","SeismicObject"
"forced regression","Process"
"formation of layer of weakness between sedimentary formations","Process"
"formation stress concentration","Condition"
"free gas","Substance"
"gas hydrate disassociation","Process"
"gas hydrate dissipation","Process"
"gas hydrates destabilization","Process"
"gravitational collapse","Collapse"
"gravitational spreading","Process"
"greatest rates of sedimentation at the outer shelf and upper slope","Condition"
"growth stratal wedge","GeologicalObject"
"hemipelagite","SeismicObject"
"high excess pore pressure","Process"
"high-amplitude","Descriptor"
"higher sedimentation rates","Process"
"hummocky","Descriptor"
"incising lateral ramps into the basal shear surface","Process"
"increase in excess pore water pressure","Process"
"increase of excess pore water pressure","Process"
"increase of volume and pressure buildup","Process"
"increased driving stresses","Factor"
"increased shear stress","Process"
"initiation of the slides","Process"
"instabilities","Process"
"lack of support from removed sediment","Condition"
"layered","Descriptor"
"length of the sliding sheet","Attribute"
"local overpressure","Process"
"location and style of up-dip termination of the mass transport deposits","Process"
"low-amplitude","Descriptor"
"mass movement initiation","Process"
"mass transport deposit","GeologicalObject"
"mediterranean continental margin","GeologicalSetting"
"mediterranean continental margins","GeologicalSetting"
"megaslide","SeismicObject"
"methane hydrate dissociation","Process"
"migration of depocenters","Process"
"non-glaciated margin","GeologicalSetting"
"parallel","Descriptor"
"pore pressure buildup","Process"
"pore-water pressures build up","Process"
"potential for mass-transport events","Event"
"preserved block","SeismicObject"
"rapid rate of sedimentation","Process"
"rapid sediment accumulation","Process"
"reduction of shear strength of sediment","Process"
"remnant and rafted blocks","SeismicObject"
"rise of the hydrostatic pressure","Process"
"rough topography","Feature"
"rugged upper surface","GeologicalFeature"
"sea floor slope","Attribute"
"sea-level lowstands","Condition"
"sediment accumulation","Process"
"sediment approaches a state of liquefaction","Condition"
"sediment or rock failure","Process"
"sediment or rock to fail","Process"
"sediment pinch-out","GeologicalFeature"
"sediment vulnerability to damage","Condition"
"sedimentation rates","Condition"
"seismic trigger","Process"
"shift of depocenters towards the outer shelf","Process"
"siliciclastic unit","SeismicObject"
"slide","SeismicObject"
"slope angle","Attribute"
"slope destabilization","Process"
"slope failure","Process"
"slope failures","Process"
"slope instability","Process"
"small permeability","Property"
"stable paleo-lakebed","GeologicalSurface"
"steepening up-dip","Process"
"storm waves","Process"
"strength development","Process"
"strongly deformed allochthonous masses","GeologicalObject"
"submarine landslides","GeologicalObject"
"submarine slide","GeologicalObject"
"subsequent flows","Process"
"tectonically active margin","GeologicalSetting"
"temperature increase at the bhsz","Condition"
"thickness of mass transport deposits","Property"
"thin","Descriptor"
"toe","StructuralComponent"
"translational sliding","Process"
"transparent","Descriptor"
"turbidite","SeismicObject"
"turbidite system","GeologicalObject"
"undeformed","Descriptor"
"unit a","SeismicObject"
"unstable condition","Condition"
"up to 500m in thickness","Measurement"
"up-dip termination of mass transport deposits","Location"
"upper slope","GeologicalSetting"
"upper surface","SurfaceFeature"
"volume and pressure buildup","Process"
"wave action","Process"
"wedge-shaped","Shape"
