statement_id,statement,expert1_verdict,expert1_comment,expert2_verdict,expert2_comment,cand1_subject,cand1_relation,cand1_object,cand1_tier,cand1_score,cand1_subj_match,cand1_obj_match,cand2_subject,cand2_relation,cand2_object,cand2_tier,cand2_score,cand2_subj_match,cand2_obj_match,cand3_subject,cand3_relation,cand3_object,cand3_tier,cand3_score,cand3_subj_match,cand3_obj_match,status,confirmed_subject,confirmed_relation,confirmed_object
1,Folds and thrust structures may display an imbricate reflector pattern in seismic data.,P,Only folds are not enough to generate imbricate reflectors.,Y,,fold,hasDescriptor,discontinuous,1,1.15,1.0,0.0,,,,,,,,,,,,,,,PARTIAL_ONLY,,,
2,Burial compaction increases the shear strength of sediments.,P,Sara is the expert.,P,will depend if causal factors are present,wave action,affects,equilibrium conditions,1,0.3,0.3,0.0,lack of support from removed sediment,causes,gravitational spreading,1,0.3,0.3,0.0,methane hydrate dissociation,causes,reduction of shear strength of sediment,1,0.3,0.0,0.3,PARTIAL_ONLY,,,
3,Mass transport deposits can develop within progradational margin clinothemes.,Y,,Y,,mass transport deposit,occursIn,continental margin,1,1.3,1.0,0.3,debris flow deposit,occursIn,non-glaciated margin,2,0.6,0.3,0.3,debris flow deposit,occursIn,passive margin,2,0.6,0.3,0.3,AMBIGUOUS,,,
4,Seismic interpretation of MTDs often uses reflector continuity as a descriptor.,Y,,P,,mass transport deposit,hasDescriptor,low-amplitude,1,0.75,0.6,0.0,mass transport deposit,hasDescriptor,high-amplitude,1,0.75,0.6,0.0,mass transport deposit,hasDescriptor,wedge-shaped,1,0.75,0.6,0.0,PARTIAL_ONLY,,,
5,Layered sediments may produce acoustically laminated seismic reflections.,Y,,P,If contrasts in the seismic impedance are laterally continuous,megaslide,hasDescriptor,layered,1,1.15,0.0,1.0,displaced block,hasDescriptor,layered,2,1.15,0.0,1.0,mass transport deposit,hasDescriptor,layered,2,1.15,0.0,1.0,PARTIAL_ONLY,,,
6,The basal shear surface of an MTD lies beneath the upper surface of the deposit.,P,"The statement is not clear. If there is an upper surface, one has to define a lower surface. Is it the same as the basal shear surface?",N,what is the upper surface of the deposit?,mass transport deposit,partOf,basal shear surface,1,1.6,0.6,1.0,mass transport deposit,partOf,upper surface,1,1.6,0.6,1.0,,,,,,,,AMBIGUOUS,,,
7,Sea-level lowstands can contribute to slope failure.,P,This is currently in discussion amongst specialists.,VERIFY,Depending on the impact of sea level: for gas hydrate bearing margins not the case (1). Footnote (1): discussion required. [verdict cell ambiguous in PDF layout - VERIFY against original],sea-level lowstands,causes,greatest rates of sedimentation at the outer shelf and upper slope,1,1.3,1.0,0.3,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,AMBIGUOUS,,,
8,Rapid sedimentation can trigger the development of fluid overpressure.,Y,,Y,,rapid rate of sedimentation,causes,fluid overpressure,1,1.3,0.3,1.0,rapid rate of sedimentation,triggers,build-up of overpressure,1,0.75,0.3,0.3,,,,,,,,AMBIGUOUS,,,
9,Wave action may destabilize slopes by altering equilibrium conditions.,P,"This is true when characterizing the impact of sea level change on coastal formations. The word 'wave' can refer to either surface wave, which impact is limited to coastal areas, or internal wave, which is due to water masses dynamics, and can trigger much deeper MTDs.",P,P(2). Footnote (2): define equilibrium conditions,wave action,affects,equilibrium conditions,1,2.0,1.0,1.0,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,CONFIDENT,,,
10,High-amplitude blocks can occur within mass transport deposits.,P,"The statement is not clear. By 'high-amplitude blocks', do you mean high amplitude seismic reflectors, or large size blocks? If the former, then the statement is true.",VERIFY,"I agree with the comment [verdict cell ambiguous in PDF layout - likely P, VERIFY against original]",mass transport deposit,hasDescriptor,high-amplitude,1,2.0,1.0,1.0,mass transport deposit,hasDescriptor,low-amplitude,1,1.3,1.0,0.3,remnant and rafted blocks,hasDescriptor,high-amplitude,1,1.3,0.3,1.0,CONFIDENT,,,
11,Mass transport deposits commonly contain internally deformed strata.,Y,,Y,,growth stratal wedge,causes,mass transport deposit,1,1.15,0.0,1.0,slope failure,causes,mass transport deposit,1,1.15,0.0,1.0,slope failures,causes,mass transport deposit,1,1.15,0.0,1.0,PARTIAL_ONLY,,,
12,Gas hydrate dissociation may contribute to retrogressive slope failure.,Y,,Y,,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,,,,,,,,AMBIGUOUS,,,
13,Internal reflections within an MTD may be inclined relative to surrounding strata.,Y,,Y,,channel levee complex,hasDescriptor,thin,1,1.0,0.0,1.0,growth stratal wedge,causes,mass transport deposit,1,0.6,0.0,0.6,slope failure,causes,mass transport deposit,1,0.6,0.0,0.6,PARTIAL_ONLY,,,
14,Mass transport deposits frequently occur on continental slopes.,Y,,Y,,mass transport deposit,occursIn,continental slope,2,2.15,1.0,1.0,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,CONFIDENT,,,
15,Mass transport deposits may occur along passive continental margins.,Y,,Y,,mass transport deposit,occursIn,continental margin,1,2.15,1.0,1.0,debris flow deposit,occursIn,non-glaciated margin,2,0.75,0.3,0.3,debris flow deposit,occursIn,passive margin,2,0.75,0.3,0.3,CONFIDENT,,,
16,Internal reflectors within MTDs can appear discontinuous in seismic data.,Y,,Y,,mass transport deposit,hasDescriptor,continuous,1,1.75,0.6,1.0,mass transport deposit,hasDescriptor,discontinuous,2,1.75,0.6,1.0,,,,,,,,AMBIGUOUS,,,
17,Retrogressive failure may propagate upslope from the initial failure surface.,Y,,Y,,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,,,,,,,,AMBIGUOUS,,,
18,Large submarine landslides commonly occur on passive continental margins.,P,"Can occur, but we are not sure if they are more common on passive margins.",N,What commonly means? They are not common,submarine landslides,occursIn,mediterranean continental margin,1,1.45,1.0,0.3,submarine landslides,occursIn,mediterranean continental margins,1,1.45,1.0,0.3,submarine landslides,occursIn,tectonically active margin,2,1.45,1.0,0.3,AMBIGUOUS,,,
19,Sediment failure can occur along passive continental margins.,Y,Same statement as 15.,Y,,mass transport deposit,occursIn,continental margin,1,1.15,0.0,1.0,turbidite system,occursIn,continental margin,1,1.15,0.0,1.0,rapid sediment accumulation,causes,failure,1,1.0,0.0,1.0,PARTIAL_ONLY,,,
20,Internally generated seepage forces may fracture the seabed and contribute to slope instability.,Y,,VERIFY,I would not use the term 'internally generated'; can you specify? Overpressures (pore fluid pressure in excess to the hydrostatic pressure) can be generated by sedimentation but also by fault or seismic activity... [verdict cell ambiguous in PDF layout - VERIFY against original],sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,,,,,,,,AMBIGUOUS,,,
21,Steep slopes may promote seabed fracturing and slope failure.,Y,,Y,,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,,,,,,,,AMBIGUOUS,,,
22,Debris flows may occur on continental slopes.,P,"Debris flows refer to a sedimentary process, while MTD is a seismic facies. A MTD can be a debris flow. It is necessary to be more specific about those terms.",Y,,sea floor slope,affects,effect of the surface slope,2,0.6,0.3,0.3,,,,,,,,,,,,,,,AMBIGUOUS,,,
23,Debris flows may display chaotic seismic facies.,Y,,Y,,debris-flow deposit,hasDescriptor,chaotic,1,1.15,0.0,1.0,megaslide,hasDescriptor,chaotic,1,1.15,0.0,1.0,unit a,hasDescriptor,chaotic,1,1.15,0.0,1.0,PARTIAL_ONLY,,,
24,Turbidity currents can be generated from debris flows.,P,We don't know.,Y,,rough topography,controls,disintegration and transformation of the debris flows into a turbidity current,1,0.3,0.0,0.3,submarine landslides,affects,subsequent flows,2,0.3,0.0,0.3,,,,,,,,PARTIAL_ONLY,,,
