node,type,role,n_triples,as_subject,as_object,n_neighbours,n_papers,n_tier1,n_tier2,relations_used,possible_variants,example_evidence,evidence_paper
mass transport deposit,Geological_Object,both,33,21,12,33,17,10,23,causes; hasDescriptor; occursIn; overlies; partOf,,"upper and western margins consist of a sinuous headwall scarp consisting of multiple lobes, and a straight, lateral scarp (Fig. 2b). MTC-1 contains three structural domains (Fig. 2a). Its extensional domain reaches from ",RichardsonetalBasinResearch2011-online (1)
slope failure,Process,both,9,3,6,9,12,3,6,causes; triggers,,"The area where no scarp exists was inherently unstable before r 2011The Authors Basin Research r 2011 Blackwell Publishing Ltd, European Association of Geoscientists & Engineers and International Association of Sedimento",RichardsonetalBasinResearch2011-online (1)
submarine landslide,Geological_Object,both,8,7,1,7,21,4,4,affects; occursIn,,The size of these failures also implies relatively homogeneous groundwa-ter conditions over large areas and highlights the significant role that fluids probably play in those failures. Dynamics of these fluids are in tur,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and
turbidite,Geological_Object,subject only,6,6,0,6,13,2,4,hasDescriptor; occursIn,,"These continuous strong plan-parallel reﬂectors: as thick as 300 ms as in the case of that between AM2 and AM3; or as thick as 700 ms, as in the case of that between AM1 and AM2. These continuous strong plan-parallel uni",Dos-Reis-et-al-2016-MPG
basal shear surface,Geological_Object,object only,5,0,5,5,6,1,4,affects; overlies; partOf,,"High ampli- tude, blocky material near the base of the deposit (de- scribed in the section above) remains semi-continuous above the curved ramp, forming a lobe of blocky material that drapes and follows the topography of",RichardsonetalBasinResearch2011-online (1)
particle segregation,Process,both,5,3,2,4,1,5,0,affects; causes; triggers,,"If the sand content is increased, as e.g. in the Grand Banks landslide, the flow becomes less cohesive. This leads to internal particle segregation and a bipartite flow with the finer clay and silt forming an upper low-d","Elverhoi, A., Breien"
slide,Geological_Object,subject only,5,5,0,5,20,1,4,hasDescriptor,,"Recognition of mass-transport deposits in outcrop is based on identification of bedding deformed by synsedimentary processes, with deformation ranging from minimal redistribution of large slide blocks to complete disaggr",9781565762879_ch02
chaotic,Descriptor,object only,4,0,4,4,10,3,1,hasDescriptor,,"AM3, the smallest megaslide in area (Table 1 and Fig. 9B), is dominated by chaotic facies and is substantially thicker close to its upslope limit, where traces of previous stratiﬁcation were preserved (Fig. 10B)."" 
""AM4,",Dos-Reis-et-al-2016-MPG
continuous,Descriptor,object only,4,0,4,4,13,1,3,hasDescriptor,,"The degree of fragmentation is highly variable, with the largest coherent blocks presenting widths of up to several kilometers. Its basal shear surface can be continuously traced with remarkable spatial variations and ge",Dos-Reis-et-al-2016-MPG
fluid overpressure,Process,both,4,2,2,4,2,0,4,causes; triggers,pore-fluid overpressure,"If the load increases quickly (due, for example, to a rapid rate of sedimentation or to tectonic thickening) and the permeability is small enough, then Tc/Td and diffusion can be neglected, so that Eq. (6) becomes: dP dt",1-s2.0-S0191814106000101-main
high-amplitude,Descriptor,object only,4,0,4,4,9,4,0,hasDescriptor,,"Unit PM1 is composed of locally continuous, high amplitude and parallel reflections, although continuity over the scale of the survey area is poor.","Ian R. Clark, Joseph A. Cartwright"
hummocky,Descriptor,object only,4,0,4,4,7,2,2,hasDescriptor,,"On seismic data, mass-transport deposits can be recognized by certain geomorphologic as well as stratigraphic distinguishing characteristics: basal linear grooved and scoured surfaces, hummocky relief at the top, and int",9781565762879_ch02
megaslide,Geological_Object,subject only,4,4,0,4,2,1,3,hasDescriptor,,"AM3, the smallest megaslide in area (Table 1 and Fig. 9B), is dominated by chaotic facies and is substantially thicker close to its upslope limit, where traces of previous stratiﬁcation were preserved (Fig. 10B).""
""Both ",Dos-Reis-et-al-2016-MPG
transparent,Descriptor,object only,4,0,4,4,12,1,3,hasDescriptor,,"The main body of the ‘slide’ has been draped uniformly with a ~10-m-thick surﬁcial unit. The drape unit is almost acoustically transparent, compared with the section it covers.",Submarine_Mass_Movements_on_Continental
debris flow,Geological_Object,subject only,3,3,0,3,4,1,2,hasDescriptor; occursIn,,"Relatively dense sediment of active margins does not mobilize as well into debris flows, compared to less consolidated sediment of passive margins (Lee et al., 1992).""
""Similarly, the relatively long run-out distance of ",9781565762879_ch03
discontinuous,Descriptor,object only,3,0,3,3,12,1,2,hasDescriptor,,"On seismic proflies a mass transport deposit is identified by its characteristic facies: a rugose upper bounding surface located above discontinuous and low amplitude reflections (e.g. Posamentier & Kolla, 2003).",
erosion,Process,subject only,3,3,0,3,13,0,3,affects,,A key observation in this work is that ramps and promontories have their long axes oriented parallel to the direction of transport of the interpreted MTDs (Fig. 5). Complete erosion of the paleoseaﬂoor may cause the sect,1-s2.0-S0025322713000571-main
excess pressure,Environmental_Control,both,3,2,1,3,2,2,1,causes,excess pore pressure,"On glaciated margins, a combination of preconditions to failure exists during the Holocene such as excess pore pressure generation (from rapid deposition) with slow dissipation or gas hydrate dissociation. The final trig",D. Leynaud
high excess pore pressure,Process,both,3,1,2,3,1,1,2,causes; triggers,excess pore pressure,Today's evaluations show that an ocean warming leading to a temperature increase at the BHSZ can lead to dissociation of gas hydrates and generation of high excess pore pressure. Sea level fall can generate similar effec,3-s2.0-B9780128130810007047-main
layered,Descriptor,object only,3,0,3,3,3,0,3,hasDescriptor,,"Facies association 3 (FA-3) consists of thick turbidites (up to 180 cm) composed of a milli- metre to decimetre thick basal layer of very fine sand to silt (D50 � 100 to 50 μm), with common oblique to parallel lamination","Bourget,j"
low-amplitude,Descriptor,object only,3,0,3,3,4,1,2,hasDescriptor,,"On seismic proflies a mass transport deposit is identified by its characteristic facies: a rugose upper bounding surface located above discontinuous and low amplitude refections (e.g. Posamentier & Kolla, 2003), although",RichardsonetalBasinResearch2011-online (1)
mass movement initiation,Process,object only,3,0,3,3,2,3,0,causes,,"Piper et al. (1997) and Maslin and Mikkelsen (1997) consider that during low seal-level stands, gas hydrates destabilization, higher sedimentation rates and erosion of canyon heads are the principal causes of mass moveme",Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
