subject,relation,object,evidence_head
erosive power,causes,incising lateral ramps into the basal shear surface,slope failures with increasing erosive power incised lateral ramps into the basal shearsurface which truncated and remob
channel,hasDescriptor,high-amplitude,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent f"
channel,hasDescriptor,discontinuous,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent f"
channel levee,hasDescriptor,discontinuous,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent f"
mass transport deposit,hasDescriptor,transparent,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent f"
unit a,hasDescriptor,discontinuous,"in most places, unit b is a well-defined basal unit (fig. 5a and b) composed of highly reflective although discontinuous"
submarine slide,occursIn,non-glaciated margin,"submarine slides, debris flows and megaturbidites on the non-glaciated margin of europe (south of 52°n) are listed in ta"
slope failures,triggers,incising lateral ramps into the basal shear surface,slope failures with increasing erosive power incised lateral ramps into the basal shearsurface which truncated and remob
sediment pinch-out,controls,up-dip termination of mass transport deposits,slope angle and sediment pinch-out are therefore
slope angle,controls,up-dip termination of mass transport deposits,slope angle and sediment pinch-out are therefore
steepening up-dip,controls,location and style of up-dip termination of the mass transport deposits,"the whole wedge failures occur along growth stratal wedges, on fold £anks that steepen up-dip and extend further upslope"
channel levee,hasDescriptor,low-amplitude,"some channels having a high amplitude fill of discontinuous reflections and others having a low amplitude, transparent f"
mass transport deposit,hasDescriptor,discontinuous,on seismic proflies a mass transport deposit is identified by its characteristic facies: a rugose upper bounding surface
debris flow deposit,occursIn,non-glaciated margin,"submarine slides, debris flows and megaturbidites on the non-glaciated margin of europe (south of 52°n) are listed in ta"
turbidite,occursIn,upper slope,"these sediments could then be flushed occasionally to the deep basin in the form of gravity currents, either triggered b"
turbidite,occursIn,deep basin,"these sediments could then be flushed occasionally to the deep basin in the form of gravity currents, either triggered b"
