statement_id,statement,expert1_verdict,expert1_comment,expert2_verdict,expert2_comment
1,"Folds and thrust structures may display an imbricate reflector pattern in seismic data.",P,"Only folds are not enough to generate imbricate reflectors.",Y,""
2,"Burial compaction increases the shear strength of sediments.",P,"Sara is the expert.",P,"will depend if causal factors are present"
3,"Mass transport deposits can develop within progradational margin clinothemes.",Y,"",Y,""
4,"Seismic interpretation of MTDs often uses reflector continuity as a descriptor.",Y,"",P,""
5,"Layered sediments may produce acoustically laminated seismic reflections.",Y,"",P,"If contrasts in the seismic impedance are laterally continuous"
6,"The basal shear surface of an MTD lies beneath the upper surface of the deposit.",P,"The statement is not clear. If there is an upper surface, one has to define a lower surface. Is it the same as the basal shear surface?",N,"what is the upper surface of the deposit?"
7,"Sea-level lowstands can contribute to slope failure.",P,"This is currently in discussion amongst specialists.",VERIFY,"Depending on the impact of sea level: for gas hydrate bearing margins not the case (1). Footnote (1): discussion required. [verdict cell ambiguous in PDF layout - VERIFY against original]"
8,"Rapid sedimentation can trigger the development of fluid overpressure.",Y,"",Y,""
9,"Wave action may destabilize slopes by altering equilibrium conditions.",P,"This is true when characterizing the impact of sea level change on coastal formations. The word 'wave' can refer to either surface wave, which impact is limited to coastal areas, or internal wave, which is due to water masses dynamics, and can trigger much deeper MTDs.",P,"P(2). Footnote (2): define equilibrium conditions"
10,"High-amplitude blocks can occur within mass transport deposits.",P,"The statement is not clear. By 'high-amplitude blocks', do you mean high amplitude seismic reflectors, or large size blocks? If the former, then the statement is true.",VERIFY,"I agree with the comment [verdict cell ambiguous in PDF layout - likely P, VERIFY against original]"
11,"Mass transport deposits commonly contain internally deformed strata.",Y,"",Y,""
12,"Gas hydrate dissociation may contribute to retrogressive slope failure.",Y,"",Y,""
13,"Internal reflections within an MTD may be inclined relative to surrounding strata.",Y,"",Y,""
14,"Mass transport deposits frequently occur on continental slopes.",Y,"",Y,""
15,"Mass transport deposits may occur along passive continental margins.",Y,"",Y,""
16,"Internal reflectors within MTDs can appear discontinuous in seismic data.",Y,"",Y,""
17,"Retrogressive failure may propagate upslope from the initial failure surface.",Y,"",Y,""
18,"Large submarine landslides commonly occur on passive continental margins.",P,"Can occur, but we are not sure if they are more common on passive margins.",N,"What commonly means? They are not common"
19,"Sediment failure can occur along passive continental margins.",Y,"Same statement as 15.",Y,""
20,"Internally generated seepage forces may fracture the seabed and contribute to slope instability.",Y,"",VERIFY,"I would not use the term 'internally generated'; can you specify? Overpressures (pore fluid pressure in excess to the hydrostatic pressure) can be generated by sedimentation but also by fault or seismic activity... [verdict cell ambiguous in PDF layout - VERIFY against original]"
21,"Steep slopes may promote seabed fracturing and slope failure.",Y,"",Y,""
22,"Debris flows may occur on continental slopes.",P,"Debris flows refer to a sedimentary process, while MTD is a seismic facies. A MTD can be a debris flow. It is necessary to be more specific about those terms.",Y,""
23,"Debris flows may display chaotic seismic facies.",Y,"",Y,""
24,"Turbidity currents can be generated from debris flows.",P,"We don't know.",Y,""
25,"Elevated pore pressure can reduce slope stability and promote slope failure.",Y,"",Y,""
26,"Preserved sediment blocks within MTDs may display sub-horizontal internal reflectors.",Y,"",Y,""
27,"Fluid overpressure may contribute to slope failure in submarine environments.",Y,"Same statement as 25.",Y,""
28,"Basal surfaces of MTDs can display disrupted reflectors.",P,"The statement is true if talking about seismic profile. However, there is always a continuous basal surface in an MTD.",Y,""
29,"MTDs can exhibit discontinuous internal reflectors in seismic profiles.",Y,"",Y,""
