subject,relation,object,tier,status,verdict,evidence_paper,evidence_match,support_chunks,support_papers,confidence,paper_ids
slope failure,causes,mass transport deposit,1,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),exact,34,6,1.0,1-s2.0-S0025322712000412-main;1-s2.0-S0264817216304585-main;Alves_AAPG_MTDs_14;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Giacomo Dalla Valle;RichardsonetalBasinResearch2011-online (1)
channel,hasDescriptor,high-amplitude,1,active,ACCEPT,,none,17,6,1.0,"1-s2.0-S0264817216304585-main;9781565762879_ch02;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bourget,j;Giacomo Dalla Valle;Moscardelli_and_Wood_2008"
channel,hasDescriptor,discontinuous,1,active,ACCEPT,,none,10,6,1.0,"Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bourget,j;Giacomo Dalla Valle;Ian R. Clark, Joseph A. Cartwright;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Moscardelli_and_Wood_2008"
debris flow,hasDescriptor,chaotic,1,active,ACCEPT,9781565762879_ch02,exact,8,4,1.0,9781565762879_ch02;9781565762879_ch03;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)
mass transport deposit,hasDescriptor,hummocky,1,active,ACCEPT,9781565762879_ch02,exact,5,4,1.0,1-s2.0-S0025322712000412-main;1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1);9781565762879_ch02
slide,hasDescriptor,hummocky,1,active,ACCEPT,"Wei Li a,⁎, Tiago M. Alves",exact,16,5,1.0,"1-s2.0-S0025322712000412-main;9781565762879_ch02;9781565762879_ch03;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
turbidite,hasDescriptor,high-amplitude,1,active,ACCEPT,Alves_AAPG_MTDs_14,fuzzy(0.64),16,6,1.0,"1-s2.0-S0264817216304585-main;9781565762879_ch02;Alves_AAPG_MTDs_14;Bourget,j;Giacomo Dalla Valle;Moscardelli_and_Wood_2008"
turbidite,hasDescriptor,continuous,1,active,ACCEPT,Alves_AAPG_MTDs_14,fuzzy(0.64),20,8,1.0,"1-s2.0-S0264817216304585-main;845;Alves_AAPG_MTDs_14;Bourget,j;D. Leynaud;Elverhoi, A., Breien;Moscardelli_and_Wood_2008;Submarine_Mass_Movements_on_Continental"
submarine landslide,occursIn,continental slope,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,fuzzy(0.74),57,14,1.0,"1-s2.0-S0025322712000412-main;1-s2.0-S0025322713000571-main;1-s2.0-S0264817216304585-main;3-s2.0-B9780128130810007047-main;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;D. Leynaud;Giacomo Dalla Valle;J. S. Laberg;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Moscardelli_and_Wood_2008;RichardsonetalBasinResearch2011-online (1);Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
submarine landslide,occursIn,continental margin,1,active,ACCEPT,JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and,exact,77,20,1.0,"1-s2.0-S0025322712000412-main;1-s2.0-S0025322713000571-main;1-s2.0-S0264817216304585-main;3-s2.0-B9780128130810007047-main;9781565762879_ch02;9781565762879_ch03;Alves_AAPG_MTDs_14;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bull & Cartwright (2009);Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;D. Leynaud;Dos-Reis-et-al-2016-MPG;Elverhoi, A., Breien;Giacomo Dalla Valle;J. S. Laberg;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Moscardelli_and_Wood_2008;Submarine_Mass_Movements_on_Continental;Two-scale_gravitational_collapse_in_the_Amazon_Fan;Wei Li a,⁎, Tiago M. Alves"
earthquake,triggers,slope failure,1,active,ACCEPT,3-s2.0-B9780128130810007047-main,exact,65,6,1.0,"1-s2.0-S0025322712000412-main;3-s2.0-B9780128130810007047-main;D. Leynaud;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
rise of hydrostatic pressure,causes,instabilities,1,active,ACCEPT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,3,0.8614,Dos-Reis-et-al-2016-MPG;Two-scale_gravitational_collapse_in_the_Amazon_Fan;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
debris-flow deposit,hasDescriptor,chaotic,1,active,ACCEPT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,fuzzy(0.76),3,3,0.8614,9781565762879_ch02;9781565762879_ch03;Two-scale_gravitational_collapse_in_the_Amazon_Fan
mass transport deposit,hasDescriptor,low-amplitude,1,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.64),3,3,0.8614,1-s2.0-S0025322713000571-main;Alves_AAPG_MTDs_14;RichardsonetalBasinResearch2011-online (1)
mass transport deposit,hasDescriptor,faulted,1,active,ACCEPT,Two-scale_gravitational_collapse_in_the_Amazon_Fan,fuzzy(0.90),3,3,0.8614,Alves_AAPG_MTDs_14;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Two-scale_gravitational_collapse_in_the_Amazon_Fan
gas hydrates destabilization,causes,mass movement initiation,1,active,ACCEPT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
higher sedimentation rates,causes,mass movement initiation,1,active,ACCEPT,Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_,exact,2,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
mass transport deposit,hasDescriptor,high-amplitude,1,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),fuzzy(0.92),2,2,0.6826,"Bourget,j;RichardsonetalBasinResearch2011-online (1)"
mass transport deposit,hasDescriptor,wedge-shaped,1,active,ACCEPT,9781565762879_ch03,exact,1,2,0.6826,JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities;9781565762879_ch03
mass transport deposit,hasDescriptor,blocky,1,active,ACCEPT,Alves_AAPG_MTDs_14,fuzzy(0.70),10,2,0.6826,Alves_AAPG_MTDs_14;RichardsonetalBasinResearch2011-online (1)
megaslide,hasDescriptor,chaotic,1,active,ACCEPT,Dos-Reis-et-al-2016-MPG,exact,19,2,0.6826,Dos-Reis-et-al-2016-MPG;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_
remnant and rafted blocks,hasDescriptor,high-amplitude,1,active,ACCEPT,"Ian R. Clark, Joseph A. Cartwright",fuzzy(0.74),3,2,0.6826,"Alves_AAPG_MTDs_14;Ian R. Clark, Joseph A. Cartwright"
mass transport deposit,partOf,basal shear surface,1,active,ACCEPT,RichardsonetalBasinResearch2011-online (1),exact,32,2,0.6826,1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1)
rapid sediment accumulation,triggers,failure,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,exact,7,2,0.6826,Dos-Reis-et-al-2016-MPG;Submarine_Mass_Movements_on_Continental
excess pore pressure,causes,slope failure,2,active,ACCEPT,D. Leynaud,exact,31,5,0.6,"3-s2.0-B9780128130810007047-main;D. Leynaud;JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
mass transport deposit,hasDescriptor,discontinuous,2,active,ACCEPT,,none,10,4,0.6,"1-s2.0-S0025322713000571-main;Bourget,j;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1)"
mass transport deposit,hasDescriptor,chaotic,2,active,ACCEPT,Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution,fuzzy(0.67),15,6,0.6,"1-s2.0-S0025322713000571-main;Alves_AAPG_MTDs_14;Bourget,j;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1);Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution"
slide,hasDescriptor,blocky,2,active,ACCEPT,9781565762879_ch02,exact,6,5,0.6,"Bull & Cartwright (2009);RichardsonetalBasinResearch2011-online (1);Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves;9781565762879_ch02"
seismic loading,triggers,slope failure,2,active,ACCEPT,3-s2.0-B9780128130810007047-main,exact,6,3,0.5168,D. Leynaud;Submarine_Mass_Movements_on_Continental;3-s2.0-B9780128130810007047-main
flow,affects,erosive capability of the flow,1,active,ACCEPT,"Elverhoi, A., Breien",exact,1,1,0.4307,"Elverhoi, A., Breien"
increased development of shear stress,affects,pushing the slope toward failure,1,active,ACCEPT,Submarine_Mass_Movements_on_Continental,fuzzy(0.81),0,1,0.4307,Submarine_Mass_Movements_on_Continental
