source,target,relation,directed,n_cit,category,n_docs_src,n_docs_tgt,evidence
runout distance,maximum horizontal length,related_to,False,1,A_direct,30,21,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""active margin (70 million mT/yr) (Lamarche et al., 2008). Goldfinger et al. (2000) suggested that the Older Blanco slide in southern Cascadia Basin had an original run-out distance of 70 km, whereas the present observed run-out distance is 22 km (Table 1). They assumed that this slide has an age of ""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""et al., 2005). In our later discussion on the Gulf of Mexico margin, we observe that MTD sheets have run-out lengths from 300 to 450 km across the Mississippi Fan surface (Table 1). Geotechnical engineers have recently hypothesized that con- tinental slopes of seismically active margins may develop ""}, {""doc"": ""Bourget,j"", ""tier"": ""same_chunk"", ""snip"": ""creases, the bathymetry proﬁle shallows, and the size, length and distance between each thrust decrease dramatically (Ellouz-Zimmermann et al., 2007b). The abyssal plain (3200 m water depth) forms a smooth trench with low gradients, and is conﬁned southward by the Murray Ridge (Fig. 1). The abyssal ""}]"
topography confinement downwards,principal direction,related_to,False,0,A_direct,21,32,"[{""doc"": ""A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric"", ""tier"": ""same_chunk"", ""snip"": ""Numerical modelling of the gravity-induced destabilization of a slope: The example of the La Clapière landslide, southern France A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric Geosciences Azur, Université de Nice Sophia-Antipolis and CNRS, Valbonne, France a b s t r a c t a r t i c l e i n f o Artic""}, {""doc"": ""A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric"", ""tier"": ""same_chunk"", ""snip"": ""framework of the La Clapière landslide (simpliﬁed after Guglielmi et al., 2005). 1, La Clapière landslide; 2, uncompressed toppled zone (10−3N KN10−5 m/s); 3, low uncompressed zone (10−8NKN10−9 m/s); 4, major normal faults; 5, minor faults; 6, thrust fault; 7, old scarps; 8, present day scarp; 9, cr""}, {""doc"": ""A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric"", ""tier"": ""same_chunk"", ""snip"": ""is small. The model topography (free surface) is extracted from an SRTM ﬁle (referred to as SRTM_38_04), along the proﬁle BB′ deﬁned in Fig. 2A. The model has homogeneous elastic-plastic properties described by Hooke's equations: dee ij = dσ K δij + dsij 2G ð1Þ Fig. 2. The Clapière landslide. (A) Ph""}]"
principal direction,scours,related_to,False,1,A_direct,32,10,"[{""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""(Fig. 5e). To the NE, S5 thins and pinches-out against the underlying channel– levee complex set and is erosionally truncated by S6 (Figs 6a and 8a). To the east, it thins against the SDA where it is folded and faulted (Fig. 7a, b). S5 has an irreg- ular top that is overlain and locally eroded by ch""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_chunk"", ""snip"": ""folds, which are concentrated towards the centre of the deposit where it is thickest (up to 200 m) (Fig. 9a–c). Towards its margins, the deposit is thinner (up to 50 m) and consists of lower- amplitude debrites (Fig. 9a, b). The deposit thins to ≤50 m across the downdip anticline, where it contains ""}, {""doc"": ""Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution "", ""tier"": ""same_sentence"", ""snip"": ""SFZ SDA MC MC MC D TFS D NW SE LAD Erosional scour Groove S4 Fig.8a Fig.8b NW SE B Fig.8a Fig.8b S3 S2 S1 S5 S4 0 200 m 1 km 0 200 m 1 km SDA SFZ Underlying channels (c) D 5 km D TFS MC a & b a & b MC Deepest erosion Erosional scour Grooves 5 km 300 200 100 a & b MC 5 km Debrites D: Thrust and fold ""}]"
detached MTD,runout distance,impacts,True,1,A_direct,31,30,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""strengthening of the sediment, which results in minor MTDs compared to turbidite-system deposits. Messinian desiccation of the Mediterranean Sea caused a deeply eroded Ebro subaerial canyon and an unstable central segment with an MTD sheet, whereas other stable Ebro margin segments have only turbidi""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Mass-transport deposit (MTD) is a general term that refers to all slumps, slides, and debris flows generated and emplaced by gravity-controlled processes except for turbidity currents. MTDs include movement and emplacement by brittle deformation (slides), plastic deformation (slumps), and plastic or""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""Gullies erode into the upper slope. Outer shelf is cut by normal faults that parallel the shelf edge, and a graben formed. b) Large blocks detached from the upper slope, initiating breaching of the shelf–slope break. c) Continued mass movement resulted in headward and lateral canyon excavation of th""}]"
detached MTD,maximum horizontal length,impacts,True,1,A_or_B_same_chunk,31,21,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""et al., 2005). In our later discussion on the Gulf of Mexico margin, we observe that MTD sheets have run-out lengths from 300 to 450 km across the Mississippi Fan surface (Table 1). Geotechnical engineers have recently hypothesized that con- tinental slopes of seismically active margins may develop ""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""signal source(s) used during acquisition, as well as on any bypass frequency filtering and am- plitude boost selected during processing (Damuth, 1980; Damuth et al., 1988; Evans, 1997). Aggres- sive frequency bypass filters applied during data processing result in the significant trimming of Figure ""}, {""doc"": ""Elverhoi, A., Breien"", ""tier"": ""same_chunk"", ""snip"": ""preserve its original composition, and this ability is determined by the amount of fines in the debris flow slurry. Hydroplaning, stretching and a low degree of deposition are factors that enhance the run-out of clay-rich and coherent flows, and all are linked to the presence of clay. In some cases,""}]"
detached MTD,surface area,impacts,True,1,A_direct,31,36,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""by a variety of turbidite systems, with only minor basin-floor MTDs. Then we provide three examples that exhibit mixed MTD and turbidite systems, such as the Mediterranean continental margin off the Ebro River in Spain, which has some segments dominated by MTDs and others dominated by turbidite syst""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""MTD sheet, BRdb is the Bowers Ridge MTD sheet, Srd is Shirshov Ridge MTD sheet, Bf is Bering Fan, and the light gray hachured area is the Aleutian Basin facies, made up of basin-plain thin-bedded turbidites and hemipelagites. Locations of gigantic gullied submarine canyons are keyed in color to matc""}]"
detached MTD,horizontal aspect ratio,impacts,True,2,A_direct,31,21,"[{""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""migration. In this work, MTDs are imaged using root-mean- square (RMS) amplitude, coherence, and dip maps. Root-mean-square amplitude data provide mea- surements of the RMS amplitude of a seismic wave reflected at normal incidence on an inter- face (Brown, 2011). The peak amplitudes of re- flected s""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""signal source(s) used during acquisition, as well as on any bypass frequency filtering and am- plitude boost selected during processing (Damuth, 1980; Damuth et al., 1988; Evans, 1997). Aggres- sive frequency bypass filters applied during data processing result in the significant trimming of Figure ""}, {""doc"": ""Alves_AAPG_MTDs_14"", ""tier"": ""same_chunk"", ""snip"": ""a signal fre- quency or spatial Nyquist number (a function of the CMP trace spacing and acquisition geome- try) will have an impact on what features are resolved on distinct 3-D volumes. Low vertical and horizontal resolutions can cause thin MTDs to be shown as fairly continuous strata or be complet""}]"
lithology distribution in MTD,transparent facies distribution,impacts,True,0,A_direct,32,25,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""MTD sheet, BRdb is the Bowers Ridge MTD sheet, Srd is Shirshov Ridge MTD sheet, Bf is Bering Fan, and the light gray hachured area is the Aleutian Basin facies, made up of basin-plain thin-bedded turbidites and hemipelagites. Locations of gigantic gullied submarine canyons are keyed in color to matc""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""active-margin compared to pas- sive-margin settings. EBRO MARGIN— MIXED MTD AND TURBIDITE SEGMENTS The Ebro passive continental margin is located in the north- western Mediterranean Sea (Figs. 7, 8). The Ebro River drains the Downloaded from http://pubs.geoscienceworld.org/books/edited-volume/chapte""}]"
lithology distribution in MTD,faulty facies distribution,related_to,False,1,A_direct,32,24,"[{""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_chunk"", ""snip"": ""MTD sheet, BRdb is the Bowers Ridge MTD sheet, Srd is Shirshov Ridge MTD sheet, Bf is Bering Fan, and the light gray hachured area is the Aleutian Basin facies, made up of basin-plain thin-bedded turbidites and hemipelagites. Locations of gigantic gullied submarine canyons are keyed in color to matc""}, {""doc"": ""9781565762879_ch03"", ""tier"": ""same_sentence"", ""snip"": ""Line drawing below shows interpreted depositional facies (MTD = mass-transport de- posits; T = ponded turbidite facies; C =""}]"
seafloor shapes and dip variations,thickness variation,impacts,True,2,A_direct,21,31,"[{""doc"": ""1-s2.0-S0025322712000412-main"", ""tier"": ""same_chunk"", ""snip"": ""C D back wall back wall A Exp. 4 Ff = 1.91 Exp. 3 Ff = 3.05 Exp. 1 Ff = 6.23 D, exp. 4 C, exp. 3 B, exp. 1 exp. 2 exp. 5 C B original thickness D Fig. 8. Headwall area morphology is diagnostic of initial ﬂow factor. A high ﬂow factor (Experiment 1) results in a smooth source area (green proﬁle, phot""}, {""doc"": ""1-s2.0-S0025322712000412-main"", ""tier"": ""same_chunk"", ""snip"": ""1–4 (Experiments 5 and 6 could not be mapped with the laser). B–E. Deposit surface maps (dip maps which accentuate local variations in the surface). Cross section locations indicated by dashed line. Experiment 1 (high Ff) is thin and broad with maximum thickness located in the central portion of the""}, {""doc"": ""epjbidisperse2007"", ""tier"": ""same_sentence"", ""snip"": ""In this section, we present two mechanisms with which the great diversity of the behaviors of bidisperse ﬂows (shape of the deposit, superposed or not layers of beads, variation of the thickness) can be explained: –""}]"
