source,target,relation,token_category,verdict,reasoning,passage_used
runout distance,maximum horizontal length,related_to,A_direct,WEAK_SUPPORT,"The text provides the original run-out distance (70 km) and the present observed run-out distance (22 km) for the Older Blanco slide. While it does not directly state that the run-out distance is the maximum horizontal length, it does provide values for distances that could be interpreted as such.","active margin (70 million mT/yr) (Lamarche et al., 2008). Goldfinger et al. (2000) suggested that the Older Blanco slide in southern Cascadia Basin had an original run-out distance of 70 km, whereas the present observed run-out distance is 22 km (Table 1). They assumed that this slide has an age of "
topography confinement downwards,principal direction,related_to,A_direct,NOT_SUPPORTED,"The provided source text does not mention either ""topography confinement downwards"" or ""principal direction."" There is no information given that links these two concepts.","Numerical modelling of the gravity-induced destabilization of a slope: The example of the La Clapière landslide, southern France A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric Geosciences Azur, Université de Nice Sophia-Antipolis and CNRS, Valbonne, France a b s t r a c t a r t i c l e i n f o Artic"
principal direction,scours,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention ""scours"" or any related concept. It discusses the thinning and pinching-out of S5 against other geological features like a channel-levee complex and SDA, as well as folding and faulting.","(Fig. 5e). To the NE, S5 thins and pinches-out against the underlying channel– levee complex set and is erosionally truncated by S6 (Figs 6a and 8a). To the east, it thins against the SDA where it is folded and faulted (Fig. 7a, b). S5 has an irreg- ular top that is overlain and locally eroded by ch"
detached MTD,runout distance,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention any concept related to ""detached MTD"" or ""runout distance."" It discusses the strengthening of sediment, MTDs in comparison to turbidite-system deposits, and the effects of the Messinian desiccation on the Ebro subaerial canyon. There is no information provided that l","strengthening of the sediment, which results in minor MTDs compared to turbidite-system deposits. Messinian desiccation of the Mediterranean Sea caused a deeply eroded Ebro subaerial canyon and an unstable central segment with an MTD sheet, whereas other stable Ebro margin segments have only turbidi"
detached MTD,maximum horizontal length,impacts,A_or_B_same_chunk,WEAK_SUPPORT,"The text mentions ""run-out lengths"" of MTD sheets, which can be inferred to relate to the maximum horizontal length. However, it does not explicitly state that these run-out lengths are the maximum horizontal lengths.","et al., 2005). In our later discussion on the Gulf of Mexico margin, we observe that MTD sheets have run-out lengths from 300 to 450 km across the Mississippi Fan surface (Table 1). Geotechnical engineers have recently hypothesized that con- tinental slopes of seismically active margins may develop "
detached MTD,surface area,impacts,A_direct,NOT_SUPPORTED,The source text does not mention any relationship between detached MTD and surface area. It discusses the presence of turbidite systems and mixed MTD and turbidite systems in certain areas but does not relate these to surface area.,"by a variety of turbidite systems, with only minor basin-floor MTDs. Then we provide three examples that exhibit mixed MTD and turbidite systems, such as the Mediterranean continental margin off the Ebro River in Spain, which has some segments dominated by MTDs and others dominated by turbidite syst"
detached MTD,horizontal aspect ratio,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention any concept related to ""detached MTD"" or ""horizontal aspect ratio."" It discusses seismic wave reflection and imaging techniques but does not establish any relationship between the provided concepts.","migration. In this work, MTDs are imaged using root-mean- square (RMS) amplitude, coherence, and dip maps. Root-mean-square amplitude data provide mea- surements of the RMS amplitude of a seismic wave reflected at normal incidence on an inter- face (Brown, 2011). The peak amplitudes of re- flected s"
lithology distribution in MTD,transparent facies distribution,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention either ""lithology distribution in MTD"" or ""transparent facies distribution."" It discusses seismic profiles, abyssal seafloor, and channel-levee complexes but does not establish any relationship between the provided geological concepts.","length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve"
lithology distribution in MTD,faulty facies distribution,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention either ""lithology distribution in MTD"" or ""faulty facies distribution."" It discusses seismic profiles and channel-levee complexes in the context of abyssal seafloor and canyons.","length are observed in the seismic profiles of the abyssal seafloor downstream from the canyon mouths; however, surface or subsurface channel– levee complexes are not observed in Figure 3 and are rarely observed in numerous other profiles (Carlson and Karl, 1988; Carlson et al., 1991). Previous inve"
seafloor shapes and dip variations,thickness variation,impacts,A_direct,NOT_SUPPORTED,The source text does not mention seafloor shapes and dip variations or any form of thickness variation. It discusses flow factors and headwall area morphology in experiments.,"C D back wall back wall A Exp. 4 Ff = 1.91 Exp. 3 Ff = 3.05 Exp. 1 Ff = 6.23 D, exp. 4 C, exp. 3 B, exp. 1 exp. 2 exp. 5 C B original thickness D Fig. 8. Headwall area morphology is diagnostic of initial ﬂow factor. A high ﬂow factor (Experiment 1) results in a smooth source area (green proﬁle, phot"
subsidence/uplift,volume,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""subsidence"" or ""uplift"" nor does it discuss any relationship between ""volume"" and these geological processes.","the UA also curves to the east and continues to the NE, bending towards the shelf (Figs 2 and 3a). According to Martinez et al. (2015), the structures in the study area have experienced episodic growth since the Late Miocene. This protracted growth history is evi- denced by thinning of the stratigra"
topography confinement downwards,terminal dispersion,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
terminal dispersion,thickness variation,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""terminal dispersion"" or ""thickness variation."" It discusses palaeoshelf breaks, their shapes, diameters, and areas, as well as the transport of sediments through megachutes. There is no information provided that links these concepts to each other.",palaeoshelf break that have a semicircu- lar shape and average diameters of 4.5km and average areas of 14km2 (their Fig. 18b; Fig. 6a this work). The collapsed sediments were transported downslope through the Calli- core and Haydn megachutes as gravity-induced deposits that were ¢nally deposited as 
ridged facies distribution,thickness variation,related_to,A_direct,NOT_SUPPORTED,"The source text does not mention ""ridged facies distribution"" or any form of ""ridges."" It describes ""chaotic and transparent facies"" with ""irregular thickness,"" but there is no explicit or implicit link to ""ridged facies distribution.""",Seismic profiles show this MTD sheet as exhibiting irregular thickness of chaotic and transparent facies that have scoured into the underlying deposits (Fig.
terminal dispersion,width variation,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either ""terminal dispersion"" or ""width variation."" It discusses palaeoshelf breaks, their shapes, diameters, and areas, as well as sediment transport through megachutes. There is no information provided that links these concepts to each other.",palaeoshelf break that have a semicircu- lar shape and average diameters of 4.5km and average areas of 14km2 (their Fig. 18b; Fig. 6a this work). The collapsed sediments were transported downslope through the Calli- core and Haydn megachutes as gravity-induced deposits that were ¢nally deposited as 
flow direction,lateral erosive walls,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention flow direction or lateral erosive walls. It appears to be describing geological features such as debrites, megaclasts, and thickness variations but does not establish any relationship between flow direction and lateral erosive walls.",20 2.5 km 100 S1 outline 2.5 km D MC LAD 5 km 60 20 100 D MC S2 outline LAD 5 km 20 MC LAD D 100 5 km 60 80 0.5 1 0 Variance 0 100 200 300 Thickness (m) S3 (a) Underlying channel (a) (a) D: Debrites Low-amplitude debrites LAD: Megaclasts (MC) N N MC LAD D D S4 5 km Underlying channel N N N N Souther
flow direction,scours,impacts,A_direct,NOT_SUPPORTED,"The source text does not mention any concept related to ""flow direction"" or ""scours."" It discusses the thinning and truncation of S5 by S6 and folding and faulting, but does not link these processes to flow direction or scours.","(Fig. 5e). To the NE, S5 thins and pinches-out against the underlying channel– levee complex set and is erosionally truncated by S6 (Figs 6a and 8a). To the east, it thins against the SDA where it is folded and faulted (Fig. 7a, b). S5 has an irreg- ular top that is overlain and locally eroded by ch"
existing geomorphology,width variation,related_to,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention any existing geomorphology or its width variation. It discusses the development of the north continental slope in the Qiongdongnan basin and mentions some wide valleys, but does not link these to existing geomorphology or discuss their width variation.","along the east-westernward Xisha trough, south of Hainan Island and east of the Yinggehai basin. The north continental slope in the Qiongdongnan basin began to develop mainly along traces of large faults in the late Miocene, and initially developed in the east part of the basin. Some wide valleys an"
existing geomorphology,flow velocity and energy,impacts,B_distributed,NO_USABLE_PASSAGE,passages dechet/non co-presents,
flow velocity and energy,scours,impacts,A_or_B_same_chunk,NOT_SUPPORTED,The source text does not mention flow velocity and energy or scours. It discusses the erosive power of mass-transport events and their effectiveness based on the degree of substrate induration.,"POSAMENTIER AND OLE J. MARTINSEN 22 The erosive power of mass-transport events can be observed in Figures 32, 36, and 38, where erosion depth of as much as 80 m can be documented. The effectiveness of a mass-transport event to erode the substrate is a function of: (1) degree of substrate induration;"
plowing effect on underlying material,BS flat sub-horizontal zone,impacts,A_or_B_same_chunk,NOT_SUPPORTED,"The source text does not mention either the ""plowing effect on underlying material"" or the ""BS flat sub-horizontal zone."" There is no information provided that links these two concepts.","due to a realignment of the maximum compressive stress, causing different rates of displacement across the width of the MTC toe (Frey Martinez et al., 2006). Prior et al. (1984) sug- gested that the development of pressure ridges may progress through a combination of ‘stopping’ forces and resistance"
