source,target,relation,verdict,query,reasoning,passage_used
runout distance,maximum horizontal length,related_to,STRONG_SUPPORT,runout distance maximum horizontal length,"The text compares the maximum run-out lengths of MTD sheets on active margins versus passive margins, directly stating that active margins have maximum run-out lengths of 80 km, which aligns with the concept of ""maximum horizontal length"" for the subject ""runout distance.""","active margin (70 million mT/yr) (Lamarche et al., 2008). Goldfinger et al. (2000) suggested that the Older Blanco slide in southern Cascadia Basin had an original run-out distance of 70 km, whereas the present observed run-out distance is 22 km (Table 1). They assumed that this slide has an age of 1.2 million years and thus with a correction for plate convergence rates of 4 cm/yr over this time, "
topography confinement downwards,principal direction,related_to,NOT_SUPPORTED,topography confinement downwards principal direction,The source text does not mention any relationship between topography confinement downwards and a principal direction.,"shown in A). Downward-pointing arrows indicate location of grooves. (D) Seismic section through horizon shown in C. Downward-pointing arrows indicate location of grooves. Note the narrow, ‘v’-shaped cross-sectional character (location shown in B). Bold arrows in (A) and (C) indicate translation direction. S. Bull et al. / Marine and Petroleum Geology 26 (2009) 1132–1151 1141 exact mechanism of ero"
principal direction,scours,related_to,WEAK_SUPPORT,principal direction scours,"The text states that the erosional scours trend in the same direction as the assumed transport direction of MTD 4, implying a relationship between the principal direction of transport and the orientation of the scours.","Promontory, ES — Erosional scours, F — fault. 87 K.O. Omosanya, T.M. Alves / Marine Geology 340 (2013) 82–97 4.4. MTD 4 (Miocene) Basal ramps in MTD 4 shows very low angles of dip (b5°) and are located on the NW and SE ﬂanks of D3 (Figs. 5d and 7b). On the SE ﬂank of D3, rafted blocks with heights up to 82 ms TWTT (~254.2 m) are found at the point of intersection of the basal ramps. The headwall s"
detached MTD,runout distance,impacts,STRONG_SUPPORT,detached MTD runout distance,"The text directly mentions MTD (presumably meaning ""Mass Transport Deposit"") run-out distances in the context of the active margin, implying a relationship between detached MTD sheets and their run-out distance.","active margin (70 million mT/yr) (Lamarche et al., 2008). Goldfinger et al. (2000) suggested that the Older Blanco slide in southern Cascadia Basin had an original run-out distance of 70 km, whereas the present observed run-out distance is 22 km (Table 1). They assumed that this slide has an age of 1.2 million years and thus with a correction for plate convergence rates of 4 cm/yr over this time, "
detached MTD,maximum horizontal length,impacts,NOT_SUPPORTED,detached MTD maximum horizontal length,The source text does not mention any specific relationship between detached MTDs and maximum horizontal length. It discusses the aspect ratios and run-out distances of MTDs but does not directly link these to the maximum horizontal length.,"are NE–SW-trending (~N63°E to N33°E), respectively coinciding with the direction of the maximum extension and contraction of the zones. 6. Reassessing diagnostic features of slope- and shelf-detached MTDs The dimension of MTDs can be used to estimate their source area and sediment run-out distances (Hünerbach et al., 2004). It also pro- vides important hints on the volume of sediment remobilised d"
detached MTD,surface area,impacts,NOT_SUPPORTED,detached MTD surface area,"The source text does not mention any ""surface area"" in relation to the ""detached MTD."" It discusses a disconformity surface and its characteristics but does not link these to a specific surface area.","base of the MTD (henceforth referred to as BMTD) is a detachment surface identified as a disconformity surface. Where the MTD package juxtaposes against the USF, the dis- conformity surface is identified as an erosional fault scarp (LFS) (Figures 5–7) formed from relict listric faults at the shelf edge. However, downslope, away from the shelf edge, the disconformity surface be- comes a conformable"
detached MTD,horizontal aspect ratio,impacts,WEAK_SUPPORT,detached MTD horizontal aspect ratio,"The text implies that there is a relationship between detached MTDs and their aspect ratios, specifically stating that slope-detached MTDs have aspect ratios of b4. This suggests a direct inference of a relationship.","are NE–SW-trending (~N63°E to N33°E), respectively coinciding with the direction of the maximum extension and contraction of the zones. 6. Reassessing diagnostic features of slope- and shelf-detached MTDs The dimension of MTDs can be used to estimate their source area and sediment run-out distances (Hünerbach et al., 2004). It also pro- vides important hints on the volume of sediment remobilised d"
lithology distribution in MTD,transparent facies distribution,impacts,NOT_SUPPORTED,lithology distribution in MTD transparent facies distribution,"The source text does not mention anything about the lithology distribution in MTD or transparent facies distribution. It discusses MTDs (Mass-Transport Deposits), their characteristics, and related geological features but does not draw any connection to transparent facies.","most likely because of the presence of structurally deformed intervals and lithified debris-flow clasts in their interior (see Strasser et al., 2012) (Figure 11B, C). As a result of these heterogeneities, CDE val- ues for MTD 5 plot as a scattered distribution of points, with energy values reaching a maximum value of approximately 0.5. This distribution results from the presence of relatively high"
lithology distribution in MTD,faulty facies distribution,related_to,WEAK_SUPPORT,lithology distribution in MTD faulty facies distribution,"The text mentions that the scattering of directionality (D) values is due to strata deformation caused by folding and faulting, which can be inferred to relate to the faulty facies distribution. However, it does not directly state that there is a relationship between the lithology distribution in MT","most likely because of the presence of structurally deformed intervals and lithified debris-flow clasts in their interior (see Strasser et al., 2012) (Figure 11B, C). As a result of these heterogeneities, CDE val- ues for MTD 5 plot as a scattered distribution of points, with energy values reaching a maximum value of approximately 0.5. This distribution results from the presence of relatively high"
seafloor shapes and dip variations,thickness variation,impacts,WEAK_SUPPORT,seafloor shapes and dip variations thickness variation,"The text describes MTD 1.3 having a wedge-shaped profile and being restricted at the base of the slope, which implies that the thickness variation of MTD 1.3 is related to the dip and shape of the seafloor.","overrides the seaﬂoor (Fig. 6B). MTD_1.2a is made up of chaotic to discontinuous seismic- reﬂections packages (Fig. 6B). A series of time-slices taken at increasing depths through the toe region of MTD_1.2a shows roughly continuous, low-amplitude bands, with a dominant circular planform, that we inter- pret as pressure ridges (Fig. 7B). MTD_1.2b laterally replaces MTD_1.2a and is marked by a chang"
