subject,relation,object,tier,status,verdict,evidence_paper,evidence_match,support_chunks,support_papers,confidence,paper_ids
slope failure,causes,mass transport deposit,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,34,6,1.0,Alves_AAPG_MTDs_14;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;1-s2.0-S0025322712000412-main;Giacomo Dalla Valle;1-s2.0-S0264817216304585-main;RichardsonetalBasinResearch2011-online (1)
slope failures,causes,mass transport deposit,1,active,STRONG_SUPPORT,RichardsonetalBasinResearch2011-online (1),exact,19,5,1.0,Alves_AAPG_MTDs_14;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;1-s2.0-S0025322712000412-main;Giacomo Dalla Valle;RichardsonetalBasinResearch2011-online (1)
channel,hasDescriptor,high-amplitude,1,active,STRONG_SUPPORT,,none,17,6,1.0,"Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bourget,j;Giacomo Dalla Valle;1-s2.0-S0264817216304585-main;9781565762879_ch02;Moscardelli_and_Wood_2008"
channel,hasDescriptor,discontinuous,1,active,STRONG_SUPPORT,,none,10,6,1.0,"Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bourget,j;Giacomo Dalla Valle;Ian R. Clark, Joseph A. Cartwright;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;Moscardelli_and_Wood_2008"
fold,hasDescriptor,discontinuous,1,active,STRONG_SUPPORT,Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport,exact,9,6,1.0,"Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Bull & Cartwright (2009);Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;Ian R. Clark, Joseph A. Cartwright;845;Two-scale_gravitational_collapse_in_the_Amazon_Fan"
mass transport deposit,hasDescriptor,hummocky,1,active,STRONG_SUPPORT,9781565762879_ch02,exact,5,4,1.0,1-s2.0-S0025322712000412-main;1-s2.0-S0025322713000571-main;RichardsonetalBasinResearch2011-online (1);9781565762879_ch02
mass transport deposit,hasDescriptor,parallel,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,fuzzy(0.96),13,5,1.0,"Bourget,j;1-s2.0-S0025322713000571-main;Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_;RichardsonetalBasinResearch2011-online (1);Dos-Reis-et-al-2016-MPG"
slide,hasDescriptor,hummocky,1,active,STRONG_SUPPORT,"Wei Li a,⁎, Tiago M. Alves",exact,16,5,1.0,"9781565762879_ch03;1-s2.0-S0025322712000412-main;9781565762879_ch02;Submarine_Mass_Movements_on_Continental;Wei Li a,⁎, Tiago M. Alves"
turbidite,hasDescriptor,parallel,1,active,STRONG_SUPPORT,Dos-Reis-et-al-2016-MPG,fuzzy(0.96),23,6,1.0,"9781565762879_ch03;Bourget,j;1-s2.0-S0264817216304585-main;Submarine_Mass_Movements_on_Continental;J. S. Laberg;Dos-Reis-et-al-2016-MPG"
turbidite,hasDescriptor,high-amplitude,1,active,STRONG_SUPPORT,Alves_AAPG_MTDs_14,exact,16,6,1.0,"Alves_AAPG_MTDs_14;Bourget,j;Giacomo Dalla Valle;1-s2.0-S0264817216304585-main;9781565762879_ch02;Moscardelli_and_Wood_2008"
turbidite,hasDescriptor,continuous,1,active,STRONG_SUPPORT,Alves_AAPG_MTDs_14,fuzzy(0.64),20,8,1.0,"Alves_AAPG_MTDs_14;Bourget,j;D. Leynaud;Elverhoi, A., Breien;1-s2.0-S0264817216304585-main;845;Submarine_Mass_Movements_on_Continental;Moscardelli_and_Wood_2008"
mass transport deposit,occursIn,continental margin,1,active,STRONG_SUPPORT,9781565762879_ch03,exact,15,8,1.0,9781565762879_ch03;Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution;Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport;Giacomo Dalla Valle;1-s2.0-S0025322713000571-main;1-s2.0-S0264817216304585-main;9781565762879_ch02;J. S. Laberg
